% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 11:42:25 2021
% raw surface, 66 visible points, bounding box reference
% x y z dx dy dz
  251.6189  646.6663 -1546.8818   -0.2007   -0.7270   -0.6567
  254.3058  651.5896 -1562.3889   -0.1664   -0.7287   -0.6643
  261.6153  663.5731 -1561.5110   -0.1536   -0.7073   -0.6900
  277.6494  666.0038 -1561.7742   -0.1148   -0.7084   -0.6964
  292.6615  661.4494 -1558.2639   -0.0968   -0.7264   -0.6804
  227.8197  683.4965 -1579.9790   -0.5010   -0.7334   -0.4595
  234.9194  679.1546 -1591.4727   -0.4466   -0.7416   -0.5006
  244.7031  682.5776 -1593.3333   -0.3856   -0.7372   -0.5549
  262.5961  685.5839 -1595.9680   -0.3416   -0.7290   -0.5932
  278.1556  695.5795 -1594.1140   -0.2979   -0.7128   -0.6349
  208.6547  679.9842 -1611.8655   -0.2315   -0.6803   -0.6954
  224.8113  685.3461 -1608.7908   -0.1834   -0.6751   -0.7146
  234.6509  695.2932 -1611.0846   -0.1593   -0.6608   -0.7335
  250.7381  693.3901 -1608.2852   -0.1144   -0.6346   -0.7644
  261.4485  707.1843 -1599.7375   -0.0917   -0.6238   -0.7762
  193.0360  729.8654 -1633.0276   -0.3908   -0.6089   -0.6902
  210.3532  724.1929 -1645.4187   -0.2966   -0.6248   -0.7223
  216.4878  724.9427 -1642.9856   -0.2737   -0.6238   -0.7321
  230.4175  732.1459 -1643.2274   -0.2169   -0.6122   -0.7604
  239.9487  739.0894 -1638.5333   -0.1891   -0.6168   -0.7641
  165.4455  749.3873 -1684.8645   -0.1122   -0.5468   -0.8297
  186.6155  753.0574 -1682.9791   -0.0636   -0.5735   -0.8167
  198.2615  764.5206 -1680.4434   -0.0529   -0.5852   -0.8091
  214.1696  766.2097 -1688.5466   -0.0372   -0.5765   -0.8162
  233.6777  769.0640 -1694.8176    0.0045   -0.5619   -0.8272
  156.8819  772.1392 -1715.2769   -0.1584   -0.4939   -0.8550
  176.1505  793.4217 -1708.0125   -0.1181   -0.4555   -0.8824
  185.9796  797.9364 -1704.7563   -0.1198   -0.4875   -0.8649
  200.4807  797.0997 -1703.3508   -0.0879   -0.4908   -0.8668
  221.0412  799.3208 -1701.6272   -0.0526   -0.4783   -0.8766
  121.5535  851.1270 -1724.1423   -0.2374   -0.6017   -0.7626
  147.0388  853.5218 -1733.8665   -0.1849   -0.5675   -0.8023
  158.3387  858.8204 -1733.6772   -0.1657   -0.5555   -0.8148
  173.7787  862.0966 -1742.9224   -0.1512   -0.5412   -0.8272
  193.7704  859.9888 -1751.4026   -0.1029   -0.5375   -0.8369
  115.6657  891.3447 -1750.2183   -0.1849   -0.4173   -0.8897
  127.1195  901.4950 -1750.2650   -0.1579   -0.4052   -0.9005
  142.1218  916.6470 -1746.6616   -0.1399   -0.3907   -0.9098
  153.8672  916.9681 -1757.9834   -0.1133   -0.4072   -0.9063
  175.6794  916.5706 -1762.9309   -0.0571   -0.4175   -0.9069
   99.0754  953.3183 -1743.0220   -0.2420   -0.3309   -0.9121
  113.4885  967.3129 -1743.3215   -0.2265   -0.2847   -0.9315
  131.5899  971.4276 -1747.3517   -0.1887   -0.2858   -0.9395
  139.3354  968.5372 -1763.4729   -0.5021   -0.3450   -0.7930
  153.7638  969.9895 -1771.4297   -0.4640   -0.3263   -0.8235
  102.0387  995.9726 -1733.7219    0.7899   -0.4205    0.4463
  114.5851  999.3890 -1740.0443    0.8015   -0.4085    0.4368
  125.1281 1003.7416 -1744.7454    0.8216   -0.3934    0.4125
  145.0121 1007.3130 -1745.8433    0.8525   -0.3644    0.3747
  157.4914 1013.4754 -1747.8765    0.8746   -0.3287    0.3563
   95.8335 1030.4108 -1733.9662    0.7582   -0.4095    0.5073
  111.2683 1032.0254 -1736.9705    0.7638   -0.4129    0.4962
  124.6366 1034.9807 -1736.1370    0.7805   -0.3931    0.4860
  134.7441 1039.8644 -1739.3755    0.8182   -0.3704    0.4398
  146.0804 1045.6433 -1744.7998    0.8639   -0.3314    0.3794
   99.0576 1058.7377 -1714.1572    0.7910   -0.5096    0.3386
  108.6903 1061.5745 -1717.8604    0.8078   -0.4936    0.3222
  119.5666 1063.6515 -1724.6411    0.8116   -0.4759    0.3389
  129.3564 1068.3145 -1728.2211    0.8412   -0.4401    0.3143
  132.3971 1073.7894 -1737.0825    0.7596   -0.5324    0.3735
   99.0633 1100.2269 -1686.4470    0.7632   -0.5162    0.3885
  107.4120 1102.8717 -1692.3281    0.7749   -0.5203    0.3590
  113.8371 1106.0431 -1693.6118    0.7821   -0.5220    0.3403
  119.3099 1107.3821 -1699.0111    0.7920   -0.5151    0.3279
  128.8349 1113.0172 -1701.7385    0.8124   -0.4905    0.3154
  105.8235 1189.3879 -1633.2937    0.7610   -0.4612    0.4563
