# phenotyping parameters file
#NameVariety PlantID Angle Length VerticalHeight HorizontalLength UpwardGrowthMeasure OutwardGrowthMeasure DeviationAngle TipTop DeviationTip CurvatureRatio MaxCurvature CurvaturePos MaxWindingRate WindingRatePos ProjectionArea Volume
NP13 1 51.263775 67.705101 26.225597 58.875511 0.387350 0.869588 3.345775 1 0.000000 0.980155 0.019285 0.461538 0.000000 0.846154 1057.711182 5424.875488
NP14 1 34.108303 67.696068 33.985535 53.413635 0.502031 0.789021 1.168112 1 0.000000 0.959290 0.025109 0.538462 0.008457 0.153846 1299.986938 2090.997070
NP14 2 23.715410 76.593163 60.039261 43.055393 0.783872 0.562131 1.981322 1 0.000000 0.987167 0.017063 0.615385 0.000000 0.846154 1617.768066 5270.409668
NP14 3 24.904659 77.916443 48.623291 45.764530 0.624044 0.587354 25.882408 1 0.000000 0.923007 0.043246 0.583333 0.002561 0.583333 1880.763062 48076.710938
NP15 1 36.502735 64.258499 18.914078 53.766281 0.294344 0.836719 1.944830 0 0.421213 0.874316 0.042398 0.461538 0.007695 0.307692 781.312805 1827.284546
NP15 3 51.459724 71.144196 30.269371 50.017326 0.425465 0.703042 0.753957 0 0.680827 0.775621 0.053674 0.250000 0.005843 0.333333 355.814911 1282.496094
NP17 2 19.495052 59.370842 52.426239 24.042114 0.883030 0.404948 2.563942 1 0.000000 0.997670 0.007213 0.384615 0.045387 0.384615 733.333740 1277.186890
NP18 1 24.333292 72.515915 55.440926 42.105095 0.764535 0.580632 1.537222 1 0.000000 0.987139 0.012842 0.384615 0.035674 0.461538 1471.744507 3226.279541
NP18 2 16.423489 75.350090 66.934738 29.463787 0.888317 0.391025 5.564334 1 0.000000 0.997077 0.006551 0.230769 0.005224 0.538462 1153.024658 5549.834473
NP18 3 21.939892 68.974396 50.129677 41.614342 0.726787 0.603330 11.985102 1 0.000000 0.977241 0.015554 0.181818 0.012166 0.181818 1395.510498 18647.966797
NP19 1 27.357998 58.311325 47.815552 30.385838 0.820005 0.521097 1.109580 1 0.000000 0.997714 0.005817 0.500000 0.000000 0.833333 833.159180 947.576294
NP19 2 24.124304 59.403481 52.532146 23.962376 0.884328 0.403383 7.699934 1 0.000000 0.999017 0.003856 0.461538 0.139923 0.538462 679.778259 4096.510742
NP19 3 23.688282 56.927101 49.060295 25.401461 0.861809 0.446210 5.770417 1 0.000000 0.998304 0.007833 0.416667 0.197535 0.583333 706.275330 3183.082031
NP20 1 32.272129 56.462433 40.331924 36.668304 0.714314 0.649428 6.834202 1 0.000000 0.992146 0.011145 0.250000 0.000000 0.833333 881.343323 6389.159180
NP20 2 34.896484 59.683704 37.282356 42.763138 0.624666 0.716496 7.322966 1 0.000000 0.979889 0.015738 0.583333 0.000000 0.833333 1034.244141 8519.475586
NP20 3 40.407394 55.664108 39.179371 37.306625 0.703853 0.670210 2.514386 1 0.000000 0.999090 0.003773 0.416667 0.204113 0.666667 803.908142 2409.544434
NP21 1 54.916756 68.376778 14.524883 62.784504 0.212424 0.918214 4.091382 0 0.329431 0.963958 0.028094 0.307692 0.027964 0.461538 740.628479 3986.244873
NP21 3 41.560211 70.463524 41.481331 53.599689 0.588692 0.760673 2.240330 1 0.000000 0.988069 0.017051 0.636364 0.000000 0.818182 1379.158325 4600.356445
NP22 2 49.953850 62.307648 15.338570 52.691727 0.246175 0.845670 10.973851 0 0.372458 0.887671 0.062302 0.636364 0.010869 0.545455 594.423767 8319.573242
NP22 3 49.790199 61.759079 17.668190 47.051067 0.286082 0.761849 8.944274 0 0.474934 0.788723 0.101986 0.545455 0.000000 0.818182 439.849182 5914.083496
NP23 2 63.953590 62.076344 21.743523 41.933929 0.350271 0.675522 6.083268 0 0.472186 0.688310 0.138408 0.500000 0.000025 0.166667 258.223755 3639.434814
NP24 1 49.332893 65.916664 27.931152 47.978626 0.423734 0.727868 2.417032 0 0.671222 0.793523 0.101574 0.333333 0.000000 0.833333 367.655579 2643.840332
NP24 2 51.614513 60.210659 13.934650 50.060898 0.231432 0.831429 7.920540 0 0.487001 0.861277 0.058008 0.615385 0.016709 0.384615 471.370911 4698.570313
NP24 3 44.934467 50.007683 16.918192 36.818459 0.338312 0.736256 4.770920 0 0.543905 0.766977 0.081534 0.500000 0.042072 0.166667 262.544586 2000.467529
NP26 1 43.426567 74.318672 29.695831 63.004608 0.399574 0.847763 4.566556 0 0.095868 0.947948 0.042805 0.833333 0.089244 0.250000 1368.102661 10195.903320
NP26 2 65.066803 75.755394 15.652451 70.076866 0.206618 0.925041 1.376166 0 0.748225 0.959679 0.048762 0.272727 0.000000 0.818182 307.627228 2006.652222
NP26 3 59.976734 71.593307 20.603752 65.755302 0.287789 0.918456 2.435007 1 0.000000 0.990820 0.014832 0.272727 0.037374 0.363636 895.205383 4062.349365
NP28 3 36.101151 66.082664 26.125336 46.677200 0.395343 0.706346 0.909621 0 0.307911 0.739100 0.190655 0.615385 0.000005 0.615385 859.898499 963.255676
NP29 1 45.387180 52.160896 12.580536 39.777958 0.241187 0.762601 11.098404 0 0.511815 0.794056 0.110496 0.692308 0.000002 0.769231 357.299927 3766.639160
NP29 2 29.459164 58.761826 26.825768 42.418266 0.456517 0.721868 4.499693 0 0.272400 0.809884 0.107294 0.615385 0.000000 0.846154 868.787659 3639.317139
NP29 3 30.930994 59.757065 24.942406 37.196960 0.417397 0.622470 4.039562 0 0.455198 0.645030 0.137114 0.545455 0.000289 0.636364 640.117859 2536.404053
NP30 2 26.931921 73.323730 31.661636 49.452435 0.431806 0.674440 23.635582 0 0.203444 0.840650 0.084227 0.692308 0.000000 0.846154 1464.388794 32078.951172
NP31 1 38.587811 62.475422 24.228119 47.830559 0.387802 0.765590 1.596714 0 0.324036 0.814624 0.080336 0.727273 0.000000 0.909091 850.154724 2016.605713
NP31 2 44.235138 65.031754 23.134964 55.313465 0.355749 0.850561 5.653433 0 0.199617 0.948108 0.040621 0.538462 0.039761 0.461538 1014.078796 7291.507813
NP31 3 33.980675 71.941216 38.120926 38.813507 0.529890 0.539517 36.678612 1 0.000000 0.865290 0.062169 0.666667 0.000000 0.833333 1523.741211 41405.140625
NP32 1 53.772533 66.224998 23.983910 49.835041 0.362158 0.752511 7.399874 0 0.670292 0.800228 0.055425 0.583333 0.017485 0.500000 339.955261 7541.279785
NP34 1 26.780697 55.191803 29.417297 40.008640 0.533001 0.724902 2.330490 0 0.160925 0.918842 0.064216 0.692308 0.024980 0.307692 920.295715 2334.546387
NP34 2 39.147453 47.333607 15.504700 37.202423 0.327562 0.785962 14.982315 0 0.422716 0.859409 0.086350 0.545455 0.000013 0.636364 461.314026 5634.245605
NP34 3 25.848120 53.629253 26.662979 39.901505 0.497172 0.744025 2.752842 1 0.000000 0.918338 0.046014 0.615385 0.000000 0.846154 854.900818 1976.538330
NP40 1 51.879692 63.708569 19.557106 45.074543 0.306978 0.707511 4.423936 0 0.489072 0.721298 0.085099 0.666667 0.007734 0.666667 461.116699 2995.685791
NP40 3 48.862728 64.162872 19.404411 47.800285 0.302424 0.744984 0.485655 0 0.500336 0.760537 0.075815 0.416667 0.001463 0.416667 509.429626 423.075653
